,날짜,거래량,변동 %
267,2019-12-02,39921000000,0.37
268,2019-11-29,39471000000,-1.16
269,2019-11-28,43731000000,-1.91
270,2019-11-27,50091000000,-0.52
271,2019-11-26,76001000000,0.4
272,2019-11-25,52481000000,2.65
273,2019-11-22,75291000000,-0.52
274,2019-11-21,56091000000,-2.43
275,2019-11-20,67101000000,-1.87
276,2019-11-19,79181000000,-1.62
277,2019-11-18,176721000000,-0.54
278,2019-11-15,89981000000,1.32
279,2019-11-14,152541000000,0.52
280,2019-11-13,131241000000,-1.14
281,2019-11-12,88171000000,0.69
282,2019-11-11,42611000000,-0.87
283,2019-11-08,60481000000,-0.52
284,2019-11-07,64501000000,-0.56
285,2019-11-06,109421000000,-1.45
286,2019-11-05,111001000000,0.75
287,2019-11-04,90561000000,0.9
288,2019-11-01,47141000000,0.58
289,2019-10-31,59411000000,0.38
290,2019-10-30,62851000000,-0.28
291,2019-10-29,113631000000,1.67
292,2019-10-28,127181000000,-0.54
293,2019-10-25,86041000000,-2.49
294,2019-10-24,157681000000,-0.37
295,2019-10-23,148281000000,2.01
296,2019-10-22,99141000000,2.28
297,2019-10-21,71641000000,1.8
298,2019-10-18,90901000000,-0.64
299,2019-10-17,60011000000,-0.82
300,2019-10-16,66641000000,0.84
301,2019-10-15,73021000000,0.79
302,2019-10-14,78061000000,1.88
303,2019-10-11,99951000000,-0.78
304,2019-10-10,160761000000,-0.26
305,2019-10-08,194841000000,1.51
306,2019-10-07,162981000000,3.2
307,2019-10-04,210781000000,0.09
308,2019-10-02,487991000000,-1.7
309,2019-10-01,72461000000,3.3
310,2019-09-30,72781000000,-0.65
311,2019-09-27,41401000000,-0.39
312,2019-09-26,55971000000,0.6
313,2019-09-25,47681000000,-2.39
314,2019-09-24,47751000000,-1.41
315,2019-09-23,44491000000,-0.68
316,2019-09-20,48291000000,0.48
317,2019-09-19,34631000000,-0.19
318,2019-09-18,43361000000,-0.11
319,2019-09-17,48031000000,0.62
320,2019-09-16,55771000000,2.04
321,2019-09-11,61221000000,1.52
322,2019-09-10,61881000000,-0.69
