,날짜,거래량,변동 %
372,2019-07-01,74361000000,-0.08
373,2019-06-28,67601000000,-0.09
374,2019-06-27,66301000000,0.81
375,2019-06-26,58821000000,0.09
376,2019-06-25,60511000000,-0.11
377,2019-06-24,55541000000,0.04
378,2019-06-21,77281000000,-0.19
379,2019-06-20,55341000000,0.25
380,2019-06-19,69731000000,1.46
381,2019-06-18,65721000000,0.47
382,2019-06-17,57061000000,-0.14
383,2019-06-14,66711000000,-0.24
384,2019-06-13,95801000000,-0.59
385,2019-06-12,66921000000,-0.17
386,2019-06-11,61241000000,0.41
387,2019-06-10,60891000000,1.43
388,2019-06-07,67971000000,0.1
389,2019-06-05,67511000000,0.12
390,2019-06-04,70291000000,-0.19
391,2019-06-03,83611000000,1.62
392,2019-05-31,77791000000,-0.02
393,2019-05-30,70341000000,0.98
394,2019-05-29,82791000000,-1.26
395,2019-05-28,147261000000,0.11
396,2019-05-27,53141000000,-0.01
397,2019-05-24,67231000000,-0.74
398,2019-05-23,71661000000,-0.1
399,2019-05-22,61661000000,0.2
400,2019-05-21,81021000000,0.44
401,2019-05-20,64231000000,0.23
402,2019-05-17,75101000000,-0.62
403,2019-05-16,75961000000,-1.35
404,2019-05-15,77021000000,0.4
405,2019-05-14,82191000000,-0.06
406,2019-05-13,66871000000,-1.23
407,2019-05-10,89441000000,0.39
408,2019-05-09,124011000000,-3.27
409,2019-05-08,75001000000,-0.41
410,2019-05-07,97721000000,-0.83
411,2019-05-03,67791000000,-0.86
412,2019-05-02,84181000000,0.42
413,2019-04-30,77991000000,-0.65
414,2019-04-29,66981000000,1.94
415,2019-04-26,76721000000,-0.53
416,2019-04-25,74581000000,-0.31
417,2019-04-24,88611000000,-0.97
418,2019-04-23,67381000000,0.21
419,2019-04-22,55191000000,-0.01
420,2019-04-19,63871000000,0.02
421,2019-04-18,89651000000,-1.55
422,2019-04-17,72671000000,-0.1
423,2019-04-16,96131000000,0.43
424,2019-04-15,80431000000,0.35
425,2019-04-12,69061000000,0.33
426,2019-04-11,84681000000,-0.17
427,2019-04-10,75081000000,0.42
428,2019-04-09,66231000000,0.12
429,2019-04-08,64571000000,-0.1
430,2019-04-05,64891000000,0.19
431,2019-04-04,73801000000,0.18
432,2019-04-03,91591000000,1.39
433,2019-04-02,72181000000,0.5
434,2019-04-01,76671000000,1.39
435,2019-03-29,82281000000,0.51
436,2019-03-28,66921000000,-0.79
437,2019-03-27,67771000000,-0.12
438,2019-03-26,65751000000,0.05
439,2019-03-25,77321000000,-2.01
440,2019-03-22,117731000000,0.27
441,2019-03-21,97091000000,0.88
442,2019-03-20,61171000000,0.04
443,2019-03-19,55391000000,-0.04
444,2019-03-18,60901000000,0.02
445,2019-03-15,123131000000,1.17
446,2019-03-14,95821000000,0.23
447,2019-03-13,61491000000,-0.62
448,2019-03-12,63961000000,0.97
449,2019-03-11,64831000000,0.08
450,2019-03-08,71641000000,-1.45
451,2019-03-07,78641000000,-0.35
452,2019-03-06,75231000000,-0.21
453,2019-03-05,78811000000,-0.73
454,2019-03-04,107551000000,-0.45
455,2019-02-28,129091000000,-1.72
456,2019-02-27,72741000000,0.3
457,2019-02-26,81331000000,-0.38
458,2019-02-25,73421000000,0.09
459,2019-02-22,70341000000,0.11
460,2019-02-21,88241000000,0.0
461,2019-02-20,88581000000,1.22
462,2019-02-19,62751000000,-0.35
463,2019-02-18,73481000000,0.68
464,2019-02-15,77191000000,-1.63
465,2019-02-14,112391000000,1.3
466,2019-02-13,93291000000,0.45
467,2019-02-12,92111000000,0.56
468,2019-02-11,79971000000,0.22
469,2019-02-08,88711000000,-1.46
470,2019-02-07,100691000000,-0.05
471,2019-02-01,114631000000,-0.03
472,2019-01-31,153501000000,-0.25
473,2019-01-30,134731000000,1.28
474,2019-01-29,130941000000,0.48
475,2019-01-28,95971000000,-0.01
476,2019-01-25,115511000000,1.83
477,2019-01-24,132861000000,1.0
478,2019-01-23,99961000000,0.43
479,2019-01-22,68871000000,-0.47
480,2019-01-21,86551000000,0.04
481,2019-01-18,78971000000,0.74
482,2019-01-17,86751000000,0.24
483,2019-01-16,100501000000,0.48
484,2019-01-15,87171000000,1.86
485,2019-01-14,74931000000,-0.8
486,2019-01-11,81081000000,0.59
487,2019-01-10,99831000000,-0.02
488,2019-01-09,98751000000,2.29
489,2019-01-08,86911000000,-0.73
490,2019-01-07,92321000000,1.43
491,2019-01-04,91201000000,0.83
492,2019-01-03,90521000000,-0.95
493,2019-01-02,69951000000,-1.43
494,2018-12-28,62701000000,0.54
495,2018-12-27,84461000000,-0.16
496,2018-12-26,92491000000,-1.31
497,2018-12-24,61961000000,-0.23
498,2018-12-21,92601000000,0.09
499,2018-12-20,81341000000,-0.94
500,2018-12-19,81751000000,0.8
501,2018-12-18,90331000000,-0.43
502,2018-12-17,71451000000,0.29
503,2018-12-14,99731000000,-1.43
504,2018-12-13,145061000000,0.35
505,2018-12-12,83691000000,1.43
506,2018-12-11,70041000000,-0.25
507,2018-12-10,77301000000,-1.09
508,2018-12-07,68451000000,0.41
509,2018-12-06,86091000000,-1.59
510,2018-12-05,75641000000,-0.66
511,2018-12-04,80801000000,-1.05
512,2018-12-03,89071000000,1.78
513,2018-11-30,137531000000,-1.02
514,2018-11-29,80651000000,0.26
515,2018-11-28,79831000000,0.5
516,2018-11-27,71911000000,0.85
517,2018-11-26,75651000000,1.3
518,2018-11-23,58351000000,-0.53
519,2018-11-22,64411000000,-0.19
520,2018-11-21,81841000000,-0.49
521,2018-11-20,80901000000,-1.0
522,2018-11-19,75011000000,0.24
523,2018-11-16,74601000000,0.04
524,2018-11-15,74361000000,0.99
525,2018-11-14,87331000000,-0.3
526,2018-11-13,88281000000,-0.69
527,2018-11-12,78001000000,0.09
528,2018-11-09,80921000000,-0.29
529,2018-11-08,99221000000,0.61
530,2018-11-07,119321000000,-0.41
531,2018-11-06,77831000000,0.56
532,2018-11-05,81491000000,-0.91
533,2018-11-02,111231000000,3.65
534,2018-11-01,102281000000,-0.4
535,2018-10-31,107851000000,0.59
536,2018-10-30,122391000000,0.88
537,2018-10-29,109741000000,-0.95
