,지역명,평균관광소요시간,기준연월,콘텐츠아이디,mapx,mapy,시군구명,제목
709,인천광역시,83.60712903225804,202107,699269,126.6295164249,37.4785193794,동구,인천 화평동 세숫대야 냉면 거리
710,경상남도,99.93512903225806,202107,702340,128.3221876853,35.2211909829,함안군,함안 채미정
711,대전광역시,87.98077419354837,202107,705678,127.4425058317,36.405518677,대덕구,장동산림욕장
712,경기도,149.8562903225806,202107,710258,126.8083800662,37.4006815853,시흥시,연꽃테마파크
713,서울특별시,105.89841935483872,202107,713110,126.9166871825,37.5872146237,은평구,응암동 감자국 거리
714,경상남도,176.00603225806452,202107,716272,128.6869407975,35.1591184342,창원시 진해구,경화역 벚꽃길
715,전라북도,77.94606451612903,202107,717109,126.5473611367,35.65176418,부안군,내변산
716,세종특별자치시,137.08696774193547,202107,730441,127.2092055881,36.6720645155,세종특별자치시,베어트리파크
717,제주특별자치도,51.708387096774196,202107,741109,126.368266352,33.2898983202,서귀포시,카멜리아힐
718,대전광역시,57.718064516129026,202107,741658,127.3862701992,36.368630231,서구,한밭수목원
719,서울특별시,74.27019354838708,202107,742972,127.1018046329,37.5524858749,광진구,아차산생태공원
720,강원도,292.30300000000005,202107,743036,128.5324284536,37.9878897949,양양군,해담마을
721,인천광역시,150.15548387096774,202107,744952,126.6136130529,37.452127722,중구,팔미도 유람선
722,서울특별시,193.28251612903227,202107,749355,126.9115453697,37.5105456646,영등포구,영등포 신길동 홍어거리
723,경기도,133.46851612903228,202107,750804,126.9327470583,37.7746292085,파주시,마장호수
724,경기도,78.68138709677417,202107,750824,127.2343828452,37.5039244637,하남시,검단산
725,경기도,108.37132258064516,202107,750947,127.0382185436,37.2641848349,수원시 팔달구,월화원
726,경상남도,92.09932258064515,202107,753306,128.4260996587,34.8457682704,통영시,동피랑마을
727,충청북도,61.99670967741937,202107,753414,127.5224085712,36.6518668752,청주시 상당구,청주동물원
728,경기도,141.67,202107,753948,127.1491703366,37.4346670696,성남시 중원구,대원공원
729,서울특별시,183.249129032258,202107,753981,127.0037401744,37.4955435016,서초구,몽마르뜨공원
730,서울특별시,81.96009677419354,202107,753994,127.0492399276,37.554145846,성동구,살곶이체육공원
731,서울특별시,86.01903225806453,202107,756590,126.9480489763,37.461676992,관악구,관악산공원 야외식물원
732,서울특별시,211.33990322580644,202107,756600,126.9293091468,37.4570160875,관악구,삼성산성지
733,경기도,162.753935483871,202107,756602,126.7899341793,37.5124349449,부천시,도당공원
734,경기도,126.21103225806448,202107,756618,126.7451940437,37.5042850974,부천시,상동호수공원
735,경기도,141.42712903225808,202107,756625,126.7839269936,37.3914599995,시흥시,시흥 갯골생태공원
736,경기도,111.84174193548385,202107,762653,127.5207059793,37.8200013097,가평군,자라섬오토캠핑장
737,부산광역시,92.21258064516128,202107,769761,128.9680748995,35.0468916967,사하구,다대포 꿈의 낙조분수
738,서울특별시,145.1601935483871,202107,774675,126.8383836374,37.5722066363,강서구,겸재정선미술관
739,강원도,58.508161290322576,202107,778140,128.3826570629,38.5763238584,고성군,고성 DMZ박물관
740,전라북도,67.55893548387095,202107,778333,127.6968867599,35.9653817592,무주군,무주머루와인동굴
741,경상북도,81.17125806451612,202107,778402,130.7975630164,37.513284443,울릉군,태하향목 관광모노레일
742,경기도,105.44677419354838,202107,780768,127.3459579118,37.632047729,남양주시,화도하수처리장 피아노폭포
743,서울특별시,79.28416129032259,202107,781031,126.922754224,37.554371328,마포구,홍대
744,전라남도,205.0254516129032,202107,786376,126.9404336135,34.4622216674,장흥군,선학동 마을
745,경상남도,179.70693548387095,202107,791089,128.6636097699,35.1490885798,창원시 진해구,창원시립진해박물관
746,경상북도,153.90306451612904,202107,791558,128.6734444027,36.2742866682,의성군,의성 금성산 고분군
747,경상남도,176.21922580645167,202107,793469,128.7246564701,34.8663157845,거제시,장승포항
748,경상북도,194.92154838709675,202107,795012,128.8581539245,36.5332245431,안동시,경상북도독립운동기념관
749,강원도,230.2701935483871,202107,800528,127.6241223106,37.6999782835,춘천시,춘천 강언덕마을 [농촌전통테마]
750,경기도,209.6716774193548,202107,802566,127.285867845,37.2808401326,광주시,광주 산두른마을 [농촌전통테마]
751,경상남도,312.0973870967742,202107,803562,127.818567075,35.7798633318,거창군,숲옛마을(갈계)
752,대전광역시,69.53106451612904,202107,803712,127.3978049793,36.2771825605,중구,무수천하마을
753,경기도,150.12929032258066,202107,809149,127.2678074083,37.3148442043,용인시 처인구,용인자연휴양림
754,서울특별시,145.63087096774194,202107,809372,126.9663267268,37.600408424,종로구,백사실계곡
755,서울특별시,47.8141935483871,202107,809490,126.8128382766,37.588898684,강서구,강서습지생태공원
756,서울특별시,57.46796774193548,202107,809596,126.9218442006,37.5187393412,영등포구,여의도샛강생태공원
757,서울특별시,187.87987096774194,202107,814123,127.0948489787,37.5781994284,중랑구,용마산
758,서울특별시,150.5438709677419,202107,814255,126.8373579831,37.499962238,구로구,온수공원
759,서울특별시,107.44219354838708,202107,822384,127.0443079425,37.6202436308,강북구,북서울 꿈의숲
760,서울특별시,95.05909677419356,202107,827585,127.0306357917,37.4656835621,서초구,양재천 생태공원
761,경상남도,99.2245806451613,202107,852439,128.6520327723,34.7408257085,거제시,함목몽돌해변
762,인천광역시,164.27087096774193,202107,864987,126.6986402152,37.594421011,서구,인천 검단선사박물관
763,서울특별시,151.2305806451613,202107,866393,127.0315421318,37.6310588098,강북구,오동근린공원
764,경기도,88.4947741935484,202107,866810,127.2950995119,37.5052754081,광주시,팔당호
765,경상북도,58.607451612903226,202107,894027,128.5277246188,36.5439309956,안동시,안동 하회마을 [유네스코 세계문화유산]
766,경상북도,256.7879032258065,202107,894087,128.5961521719,36.7256531772,영주시,영주 무섬마을
767,강원도,186.30525806451615,202107,895963,128.4670424044,37.2624835586,영월군,강원도 탄광문화촌
