,시도코드,시도명,기준연월일,요일구분코드,요일구분명,관강객구분코드,관광객구분명,관광객수
144,27,대구광역시,20210723,5,금요일,1,현지인(a),1194427.5
145,27,대구광역시,20210723,5,금요일,2,외지인(b),251688.5
146,27,대구광역시,20210723,5,금요일,3,외국인(c),339.01238095238057
147,28,인천광역시,20210723,5,금요일,1,현지인(a),1234296.0
148,28,인천광역시,20210723,5,금요일,2,외지인(b),362659.5
149,28,인천광역시,20210723,5,금요일,3,외국인(c),4161.15167316123
150,29,광주광역시,20210723,5,금요일,1,현지인(a),796621.0
151,29,광주광역시,20210723,5,금요일,2,외지인(b),168406.0
152,29,광주광역시,20210723,5,금요일,3,외국인(c),176.2717651821863
153,30,대전광역시,20210723,5,금요일,1,현지인(a),702551.5
154,30,대전광역시,20210723,5,금요일,2,외지인(b),189728.0
155,30,대전광역시,20210723,5,금요일,3,외국인(c),221.85882352941195
156,31,울산광역시,20210723,5,금요일,1,현지인(a),508616.5
157,31,울산광역시,20210723,5,금요일,2,외지인(b),127473.5
158,31,울산광역시,20210723,5,금요일,3,외국인(c),1276.5999013320177
159,36,세종특별자치시,20210723,5,금요일,1,현지인(a),154297.5
160,36,세종특별자치시,20210723,5,금요일,2,외지인(b),76240.5
161,36,세종특별자치시,20210723,5,금요일,3,외국인(c),74.54190476190476
162,41,경기도,20210723,5,금요일,1,현지인(a),6052704.0
163,41,경기도,20210723,5,금요일,2,외지인(b),1505805.0
164,41,경기도,20210723,5,금요일,3,외국인(c),7482.91638393233
165,42,강원도,20210723,5,금요일,1,현지인(a),988582.0
166,42,강원도,20210723,5,금요일,2,외지인(b),452508.0
167,42,강원도,20210723,5,금요일,3,외국인(c),403.17586088583914
168,43,충청북도,20210723,5,금요일,1,현지인(a),782313.0
169,43,충청북도,20210723,5,금요일,2,외지인(b),291158.0
170,43,충청북도,20210723,5,금요일,3,외국인(c),384.56135399673724
171,44,충청남도,20210723,5,금요일,1,현지인(a),1051830.5
172,44,충청남도,20210723,5,금요일,2,외지인(b),405394.5
173,44,충청남도,20210723,5,금요일,3,외국인(c),873.2577655821242
174,45,전라북도,20210723,5,금요일,1,현지인(a),1031198.0
175,45,전라북도,20210723,5,금요일,2,외지인(b),247229.5
176,45,전라북도,20210723,5,금요일,3,외국인(c),472.380894308943
177,46,전라남도,20210723,5,금요일,1,현지인(a),946813.0
178,46,전라남도,20210723,5,금요일,2,외지인(b),330176.0
179,46,전라남도,20210723,5,금요일,3,외국인(c),2381.555236326559
180,47,경상북도,20210723,5,금요일,1,현지인(a),1418588.5
181,47,경상북도,20210723,5,금요일,2,외지인(b),468919.5
182,47,경상북도,20210723,5,금요일,3,외국인(c),722.8825396211835
183,48,경상남도,20210723,5,금요일,1,현지인(a),1570901.5
184,48,경상남도,20210723,5,금요일,2,외지인(b),414158.5
185,48,경상남도,20210723,5,금요일,3,외국인(c),2522.4159536541883
186,50,제주특별자치도,20210723,5,금요일,1,현지인(a),535990.0
187,50,제주특별자치도,20210723,5,금요일,2,외지인(b),189997.5
188,50,제주특별자치도,20210723,5,금요일,3,외국인(c),2220.743424871089
189,11,서울특별시,20210729,4,목요일,1,현지인(a),4446081.5
190,11,서울특별시,20210729,4,목요일,2,외지인(b),1303890.0
191,11,서울특별시,20210729,4,목요일,3,외국인(c),4733.993734140468
192,11,서울특별시,20210724,6,토요일,1,현지인(a),4110666.0
193,11,서울특별시,20210724,6,토요일,2,외지인(b),1302651.0
194,11,서울특별시,20210724,6,토요일,3,외국인(c),4676.263307745811
195,26,부산광역시,20210724,6,토요일,1,현지인(a),1310596.0
196,26,부산광역시,20210724,6,토요일,2,외지인(b),410665.5
197,26,부산광역시,20210724,6,토요일,3,외국인(c),2580.1920094677407
198,27,대구광역시,20210724,6,토요일,1,현지인(a),1124553.5
199,27,대구광역시,20210724,6,토요일,2,외지인(b),300695.5
200,27,대구광역시,20210724,6,토요일,3,외국인(c),346.7466449845945
201,28,인천광역시,20210724,6,토요일,1,현지인(a),1169073.5
202,28,인천광역시,20210724,6,토요일,2,외지인(b),463337.0
203,28,인천광역시,20210724,6,토요일,3,외국인(c),4024.1682173447625
204,29,광주광역시,20210724,6,토요일,1,현지인(a),745122.0
205,29,광주광역시,20210724,6,토요일,2,외지인(b),195384.0
206,29,광주광역시,20210724,6,토요일,3,외국인(c),175.31395173453993
207,30,대전광역시,20210724,6,토요일,1,현지인(a),649358.5
208,30,대전광역시,20210724,6,토요일,2,외지인(b),224707.0
209,30,대전광역시,20210724,6,토요일,3,외국인(c),224.40981069042314
210,31,울산광역시,20210724,6,토요일,1,현지인(a),471121.0
211,31,울산광역시,20210724,6,토요일,2,외지인(b),155340.5
212,31,울산광역시,20210724,6,토요일,3,외국인(c),1056.4201585327958
213,36,세종특별자치시,20210724,6,토요일,1,현지인(a),143325.0
214,36,세종특별자치시,20210724,6,토요일,2,외지인(b),92809.5
215,36,세종특별자치시,20210724,6,토요일,3,외국인(c),68.0113197969543
216,41,경기도,20210724,6,토요일,1,현지인(a),5727547.0
217,41,경기도,20210724,6,토요일,2,외지인(b),1851899.0
218,41,경기도,20210724,6,토요일,3,외국인(c),6246.967598503679
219,42,강원도,20210724,6,토요일,1,현지인(a),924010.5
220,42,강원도,20210724,6,토요일,2,외지인(b),636699.0
221,42,강원도,20210724,6,토요일,3,외국인(c),399.11704710838734
222,43,충청북도,20210724,6,토요일,1,현지인(a),731342.5
223,43,충청북도,20210724,6,토요일,2,외지인(b),388318.0
224,43,충청북도,20210724,6,토요일,3,외국인(c),334.1438934603723
225,44,충청남도,20210724,6,토요일,1,현지인(a),967298.5
226,44,충청남도,20210724,6,토요일,2,외지인(b),566856.5
227,44,충청남도,20210724,6,토요일,3,외국인(c),787.1484316831692
228,45,전라북도,20210724,6,토요일,1,현지인(a),959756.0
229,45,전라북도,20210724,6,토요일,2,외지인(b),340781.0
230,45,전라북도,20210724,6,토요일,3,외국인(c),582.3076266594414
231,46,전라남도,20210724,6,토요일,1,현지인(a),873173.0
232,46,전라남도,20210724,6,토요일,2,외지인(b),445781.0
233,46,전라남도,20210724,6,토요일,3,외국인(c),2142.103284563658
234,47,경상북도,20210724,6,토요일,1,현지인(a),1313424.0
235,47,경상북도,20210724,6,토요일,2,외지인(b),663656.0
236,47,경상북도,20210724,6,토요일,3,외국인(c),757.7198007747651
237,48,경상남도,20210724,6,토요일,1,현지인(a),1472320.5
238,48,경상남도,20210724,6,토요일,2,외지인(b),551544.0
239,48,경상남도,20210724,6,토요일,3,외국인(c),2284.9427922936425
240,50,제주특별자치도,20210724,6,토요일,1,현지인(a),516320.0
241,50,제주특별자치도,20210724,6,토요일,2,외지인(b),195548.5
242,50,제주특별자치도,20210724,6,토요일,3,외국인(c),2040.2122792513478
243,26,부산광역시,20210729,4,목요일,1,현지인(a),1348634.0
244,47,경상북도,20210729,4,목요일,2,외지인(b),496037.5
245,47,경상북도,20210729,4,목요일,3,외국인(c),665.5142542077768
246,11,서울특별시,20210719,1,월요일,1,현지인(a),4478631.5
247,11,서울특별시,20210719,1,월요일,2,외지인(b),1146334.0
248,11,서울특별시,20210719,1,월요일,3,외국인(c),5208.367750973502
249,26,부산광역시,20210719,1,월요일,1,현지인(a),1387340.5
250,26,부산광역시,20210719,1,월요일,2,외지인(b),311202.5
251,26,부산광역시,20210719,1,월요일,3,외국인(c),2088.7838247422683
252,27,대구광역시,20210719,1,월요일,1,현지인(a),1179104.5
253,27,대구광역시,20210719,1,월요일,2,외지인(b),215442.5
254,27,대구광역시,20210719,1,월요일,3,외국인(c),358.97078804347825
255,28,인천광역시,20210719,1,월요일,1,현지인(a),1231807.5
256,28,인천광역시,20210719,1,월요일,2,외지인(b),316792.0
257,28,인천광역시,20210719,1,월요일,3,외국인(c),3442.4843391049867
258,29,광주광역시,20210719,1,월요일,1,현지인(a),792438.5
259,29,광주광역시,20210719,1,월요일,2,외지인(b),144431.0
260,29,광주광역시,20210719,1,월요일,3,외국인(c),197.83728595890403
261,30,대전광역시,20210719,1,월요일,1,현지인(a),702432.5
262,30,대전광역시,20210719,1,월요일,2,외지인(b),165441.5
263,30,대전광역시,20210719,1,월요일,3,외국인(c),255.56426635514055
264,31,울산광역시,20210719,1,월요일,1,현지인(a),504161.0
265,31,울산광역시,20210719,1,월요일,2,외지인(b),109210.5
266,31,울산광역시,20210719,1,월요일,3,외국인(c),1058.7834370918595
267,36,세종특별자치시,20210719,1,월요일,1,현지인(a),152320.0
268,36,세종특별자치시,20210719,1,월요일,2,외지인(b),64193.5
269,36,세종특별자치시,20210719,1,월요일,3,외국인(c),96.00556818181819
270,41,경기도,20210719,1,월요일,1,현지인(a),5964630.0
271,41,경기도,20210719,1,월요일,2,외지인(b),1305825.5
272,41,경기도,20210719,1,월요일,3,외국인(c),6895.530422042787
273,42,강원도,20210719,1,월요일,1,현지인(a),992404.0
274,42,강원도,20210719,1,월요일,2,외지인(b),365918.0
275,42,강원도,20210719,1,월요일,3,외국인(c),432.63114146341474
276,43,충청북도,20210719,1,월요일,1,현지인(a),779016.0
277,43,충청북도,20210719,1,월요일,2,외지인(b),235270.0
278,43,충청북도,20210719,1,월요일,3,외국인(c),381.0425844346551
279,44,충청남도,20210719,1,월요일,1,현지인(a),1050819.0
280,44,충청남도,20210719,1,월요일,2,외지인(b),327218.5
281,44,충청남도,20210719,1,월요일,3,외국인(c),859.3380786026206
282,45,전라북도,20210719,1,월요일,1,현지인(a),1028461.0
283,45,전라북도,20210719,1,월요일,2,외지인(b),196850.5
284,45,전라북도,20210719,1,월요일,3,외국인(c),448.3257146496816
285,46,전라남도,20210719,1,월요일,1,현지인(a),953141.0
286,46,전라남도,20210719,1,월요일,2,외지인(b),274753.5
287,46,전라남도,20210719,1,월요일,3,외국인(c),1549.8715623333687
288,47,경상북도,20210719,1,월요일,1,현지인(a),1412145.0
289,47,경상북도,20210719,1,월요일,2,외지인(b),381937.5
290,47,경상북도,20210719,1,월요일,3,외국인(c),1023.278230958231
291,48,경상남도,20210719,1,월요일,1,현지인(a),1555421.0
292,48,경상남도,20210719,1,월요일,2,외지인(b),346500.0
